Timetable for grade 1
Mon-9:00~9:30,Classical Mechanics(SE103) Sect 2 E7-224 H.S.Zoe,General Chemistry I (on Matter)(SE117) Sect 1 E7-L22 C.H.Nam
Mon-9:30~9:00,Classical Mechanics(SE103) Sect 2 E7-224 H.S.Zoe,General Chemistry I (on Matter)(SE117) Sect 1 E7-L22 C.H.Nam
Mon-10:00~10:30,Classical Mechanics(SE103) Sect 2 E7-224 H.S.Zoe,General Chemistry I (on Matter)(SE117) Sect 1 E7-L22 C.H.Nam,Communication Skills(HL107) Sect 4 E7-L27 Philip
Mon-10:30~10:00,Comparative Historya(HL101) Sect 2 E7-L21 D.R.Kim,Writing.Reading.Speaking(HL111a) Sect 2 E7-235 T.H.Lim,Communication Skills(HL107) Sect 4 E7-L27 Philip
Mon-11:00~11:30,Comparative Historya(HL101) Sect 2 E7-L21 D.R.Kim,Writing.Reading.Speaking(HL111a) Sect 2 E7-235 T.H.Lim,Communication Skills(HL107) Sect 4 E7-L27 Philip
Mon-11:30~11:00,Comparative Historya(HL101) Sect 2 E7-L21 D.R.Kim,Writing.Reading.Speaking(HL111a) Sect 2 E7-235 T.H.Lim,Communication Skills(HL107) Sect 4 E7-L27 Philip
Mon-12:00~12:30
Mon-12:30~12:00
Mon-13:00~13:30,Applied Calculus and Differential Equations(SE101a) Sect 1 E7-223 H.J.Ahn,Applied Calculus and Differential Equations(SE101a) Sect 4 E7-224 K.J.Han,Writing.Reading.Speaking(HL111a) Sect 1 E7-G02 T.H.Lim
Mon-13:30~13:00,Applied Calculus and Differential Equations(SE101a) Sect 1 E7-223 H.J.Ahn,Applied Calculus and Differential Equations(SE101a) Sect 4 E7-224 K.J.Han,Writing.Reading.Speaking(HL111a) Sect 1 E7-G02 T.H.Lim
Mon-14:00~14:30,Applied Calculus and Differential Equations(SE101a) Sect 1 E7-223 H.J.Ahn,Applied Calculus and Differential Equations(SE101a) Sect 4 E7-224 K.J.Han,Writing.Reading.Speaking(HL111a) Sect 1 E7-G02 T.H.Lim
Mon-14:30~14:00,Applied Calculus and Differential Equations(SE101a) Sect 2 E7-224 H.S.Kang,Comparative Historya(HL101) Sect 1 E7-223 D.R.Kim,Writing.Reading.Speaking(HL111a) Sect 4 E7-G01 T.H.Lim
Mon-15:00~15:30,Applied Calculus and Differential Equations(SE101a) Sect 2 E7-224 H.S.Kang,Comparative Historya(HL101) Sect 1 E7-223 D.R.Kim,Writing.Reading.Speaking(HL111a) Sect 4 E7-G01 T.H.Lim
Mon-15:30~15:00,Applied Calculus and Differential Equations(SE101a) Sect 2 E7-224 H.S.Kang,Comparative Historya(HL101) Sect 1 E7-223 D.R.Kim,Writing.Reading.Speaking(HL111a) Sect 4 E7-G01 T.H.Lim
Mon-16:00~16:30,Applied Calculus and Differential Equations(SE101a) Sect 2 E7-224 H.S.Kang,Applied Calculus and Differential Equations(SE101a) Sect 3 E7-L22 S.Y.Ahn,Writing.Reading.Speaking(HL111a) Sect 3 E7-G02 T.H.Lim,Music I: Classic Guitar(HL103) Sect 1 S1-304 Jong-Ho.Park,Music I: Violin(HL103) Sect 4 S1-303 J.H.Cheong,Music I: Cello(HL103) Sect 6 S1-301 G.J.Jeong,Music I: Clarinet(HL103) Sect 8 S1-305 H.S.Na,Communication Skills(HL107) Sect 1 E7-L27 Anna
Mon-16:30~16:00,Applied Calculus and Differential Equations(SE101a) Sect 2 E7-224 H.S.Kang,Applied Calculus and Differential Equations(SE101a) Sect 3 E7-L22 S.Y.Ahn,Writing.Reading.Speaking(HL111a) Sect 3 E7-G02 T.H.Lim,Music I: Classic Guitar(HL103) Sect 1 S1-304 Jong-Ho.Park,Music I: Violin(HL103) Sect 4 S1-303 J.H.Cheong,Music I: Cello(HL103) Sect 6 S1-301 G.J.Jeong,Music I: Clarinet(HL103) Sect 8 S1-305 H.S.Na,Communication Skills(HL107) Sect 1 E7-L27 Anna,Physical Education I: Taekwondo(HL105) Sect 1 S1-108 Ji-Hoon.Lee,Physical Education I: Taekwondo(HL105) Sect 2 S1-111 Y.H.Yoo
