Timetable for grade 1
Mon-9:00,Classical Mechanicsa(SE103) Sect 1E7-223 C.S.Yoon,Classical Mechanics Lab(SE104) Sect 3E2-219 H.S.Zoe
Mon-9:30,Classical Mechanicsa(SE103) Sect 1E7-223 C.S.Yoon,Classical Mechanics Lab(SE104) Sect 3E2-219 H.S.Zoe
Mon-10:00,Classical Mechanicsa(SE103) Sect 1E7-223 C.S.Yoon,Classical Mechanics Lab(SE104) Sect 3E2-219 H.S.Zoe,General Biology Lab(SE112) Sect 1E4-225 C.H.Lee
Mon-10:30,Comparative Historya(HL101) Sect 1E7-L21 D.R.Kim,Classical Mechanics Lab(SE104) Sect 3E2-219 H.S.Zoe,General Biology Lab(SE112) Sect 1E4-225 C.H.Lee
Mon-11:00,Comparative Historya(HL101) Sect 1E7-L21 D.R.Kim,,General Biology Lab(SE112) Sect 1E4-225 C.H.Lee
Mon-11:30,Comparative Historya(HL101) Sect 1E7-L21 D.R.Kim,,General Biology Lab(SE112) Sect 1E4-225 C.H.Lee
Mon-12:00
Mon-12:30
Mon-13:00,Applied Calculus and Differential Equations(SE101a) Sect 1E7-224 H.J.Ahn,Applied Calculus and Differential Equations(SE101a) Sect 4E7-L22 K.J.Han,Writing.Reading.Speaking(HL111a) Sect 3E7-L20 T.H.Lim
Mon-13:30,Applied Calculus and Differential Equations(SE101a) Sect 1E7-224 H.J.Ahn,Applied Calculus and Differential Equations(SE101a) Sect 4E7-L22 K.J.Han,Writing.Reading.Speaking(HL111a) Sect 3E7-L20 T.H.Lim
Mon-14:00,Applied Calculus and Differential Equations(SE101a) Sect 1E7-224 H.J.Ahn,Applied Calculus and Differential Equations(SE101a) Sect 4E7-L22 K.J.Han,Writing.Reading.Speaking(HL111a) Sect 3E7-L20 T.H.Lim
Mon-14:30,Applied Calculus and Differential Equations(SE101a) Sect 3E7-224 S.Y.Ahn,Comparative Historya(HL101) Sect 2E7-L21 D.R.Kim,Writing.Reading.Speaking(HL111a) Sect 2E7-223 T.H.Lim,Communication Skills(HL107) Sect 4E7-235 Philip
Mon-15:00,Applied Calculus and Differential Equations(SE101a) Sect 3E7-224 S.Y.Ahn,Comparative Historya(HL101) Sect 2E7-L21 D.R.Kim,Writing.Reading.Speaking(HL111a) Sect 2E7-223 T.H.Lim,Communication Skills(HL107) Sect 4E7-235 Philip
Mon-15:30,Applied Calculus and Differential Equations(SE101a) Sect 3E7-224 S.Y.Ahn,Comparative Historya(HL101) Sect 2E7-L21 D.R.Kim,Writing.Reading.Speaking(HL111a) Sect 2E7-223 T.H.Lim,Communication Skills(HL107) Sect 4E7-235 Philip
Mon-16:00,Classical Mechanics Lab(SE104) Sect 1E2-219 K.S.Park,Music I: Classic Guitar(HL103) Sect 1S1-305 Jong-Ho.Park,Music I: Violin(HL103) Sect 4S1-303 J.H.Cheong,Communication Skills(HL107) Sect 4E7-235 Philip,Music I: Cello(HL103) Sect 6S1-301 G.J.Jeong,Music I: Clarinet(HL103) Sect 8S1-304 H.S.Na,Communication Skills(HL107) Sect 8E7-L28 Unknown5
Mon-16:30,Classical Mechanics Lab(SE104) Sect 1E2-219 K.S.Park,Music I: Classic Guitar(HL103) Sect 1S1-305 Jong-Ho.Park,Music I: Violin(HL103) Sect 4S1-303 J.H.Cheong,General Chemistry I (on Matter)(SE117) Sect 2E7-224 C.H.Nam,Music I: Cello(HL103) Sect 6S1-301 G.J.Jeong,Music I: Clarinet(HL103) Sect 8S1-304 H.S.Na,Communication Skills(HL107) Sect 8E7-L28 Unknown5,Physical Education I: Taekwondo(HL105) Sect 1S1-108 Ji-Hoon.Lee,Physical Education I: Taekwondo(HL105) Sect 2S1-111 Y.H.Yoo
Mon-17:00,Classical Mechanics Lab(SE104) Sect 1E2-219 K.S.Park,Music I: Classic Guitar(HL103) Sect 1S1-305 Jong-Ho.Park,Music I: Violin(HL103) Sect 4S1-303 J.H.Cheong,General Chemistry I (on Matter)(SE117) Sect 2E7-224 C.H.Nam,Music I: Cello(HL103) Sect 6S1-301 G.J.Jeong,Music I: Clarinet(HL103) Sect 8S1-304 H.S.Na,Communication Skills(HL107) Sect 8E7-L28 Unknown5,Physical Education I: Taekwondo(HL105) Sect 1S1-108 Ji-Hoon.Lee,Physical Education I: Taekwondo(HL105) Sect 2S1-111 Y.H.Yoo
Mon-17:30,Classical Mechanics Lab(SE104) Sect 1E2-219 K.S.Park,Music I: Classic Guitar(HL103) Sect 1S1-305 Jong-Ho.Park,Music I: Violin(HL103) Sect 4S1-303 J.H.Cheong,General Chemistry I (on Matter)(SE117) Sect 2E7-224 C.H.Nam,Music I: Cello(HL103) Sect 6S1-301 G.J.Jeong,Music I: Clarinet(HL103) Sect 8S1-304 H.S.Na,Communication Skills(HL107) Sect 8E7-L28 Unknown5,Physical Education I: Taekwondo(HL105) Sect 1S1-108 Ji-Hoon.Lee,Physical Education I: Taekwondo(HL105) Sect 2S1-111 Y.H.Yoo
Mon-18:00,,,,,,,,Physical Education I: Taekwondo(HL105) Sect 1S1-108 Ji-Hoon.Lee,Physical Education I: Taekwondo(HL105) Sect 2S1-111 Y.H.Yoo
Mon-18:30,Music I: Classic Guitar(HL103) Sect 2S1-301 Jong-Ho.Park,Music I: Violin(advanced)(HL103) Sect 5S1-305 J.H.Cheong,Music I: Ensemble(HL103) Sect 7S1-303 G.J.Jeong,Music I: Clarinet(HL103) Sect 9S1-304 H.S.Na,Physical Education I: Taekwondo(HL105) Sect 3S1-111 Ji-Hoon.Lee,Physical Education I: Taekwondo(HL105) Sect 4S1-108 Y.H.Yoo
Mon-19:00,Music I: Classic Guitar(HL103) Sect 2S1-301 Jong-Ho.Park,Music I: Violin(advanced)(HL103) Sect 5S1-305 J.H.Cheong,Music I: Ensemble(HL103) Sect 7S1-303 G.J.Jeong,Music I: Clarinet(HL103) Sect 9S1-304 H.S.Na,Physical Education I: Taekwondo(HL105) Sect 3S1-111 Ji-Hoon.Lee,Physical Education I: Taekwondo(HL105) Sect 4S1-108 Y.H.Yoo
Mon-19:30,Music I: Classic Guitar(HL103) Sect 2S1-301 Jong-Ho.Park,Music I: Violin(advanced)(HL103) Sect 5S1-305 J.H.Cheong,Music I: Ensemble(HL103) Sect 7S1-303 G.J.Jeong,Music I: Clarinet(HL103) Sect 9S1-304 H.S.Na,Physical Education I: Taekwondo(HL105) Sect 3S1-111 Ji-Hoon.Lee,Physical Education I: Taekwondo(HL105) Sect 4S1-108 Y.H.Yoo
Mon-20:00,Music I: Classic Guitar(HL103) Sect 2S1-301 Jong-Ho.Park,Music I: Violin(advanced)(HL103) Sect 5S1-305 J.H.Cheong,Music I: Ensemble(HL103) Sect 7S1-303 G.J.Jeong,Music I: Clarinet(HL103) Sect 9S1-304 H.S.Na,Physical Education I: Taekwondo(HL105) Sect 3S1-111 Ji-Hoon.Lee,Physical Education I: Taekwondo(HL105) Sect 4S1-108 Y.H.Yoo
Mon-20:30,Music I: Classic Guitar(HL103) Sect 3S1-301 Jong-Ho.Park
Mon-21:00,Music I: Classic Guitar(HL103) Sect 3S1-301 Jong-Ho.Park
Mon-21:30,Music I: Classic Guitar(HL103) Sect 3S1-301 Jong-Ho.Park
Mon-22:00,Music I: Classic Guitar(HL103) Sect 3S1-301 Jong-Ho.Park
Tue-9:00,Classical Mechanics(SE103) Sect 1E7-L21 H.S.Zoe,Design Thinking(SE118) Sect 2E7-237 J.R.Park
Tue-9:30,Classical Mechanics(SE103) Sect 1E7-L21 H.S.Zoe,Design Thinking(SE118) Sect 2E7-237 J.R.Park,Classical Mechanics Lab(SE104) Sect 5E2-219 Unknown1
Tue-10:00,Classical Mechanics(SE103) Sect 1E7-L21 H.S.Zoe,Design Thinking(SE118) Sect 2E7-237 J.R.Park,Classical Mechanics Lab(SE104) Sect 5E2-219 Unknown1
Tue-10:30,Applied Calculus and Differential Equations(SE101a) Sect 1E7-224 H.J.Ahn,Design Thinking(SE118) Sect 2E7-237 J.R.Park,Classical Mechanics Lab(SE104) Sect 5E2-219 Unknown1
Tue-11:00,Applied Calculus and Differential Equations(SE101a) Sect 1E7-224 H.J.Ahn,Design Thinking(SE118) Sect 2E7-237 J.R.Park,Classical Mechanics Lab(SE104) Sect 5E2-219 Unknown1
Tue-11:30,Applied Calculus and Differential Equations(SE101a) Sect 1E7-224 H.J.Ahn,Design Thinking(SE118) Sect 2E7-237 J.R.Park
Tue-12:00
Tue-12:30
Tue-13:00,Applied Calculus and Differential Equations(SE101a) Sect 2E7-223 H.S.Kang
Tue-13:30,Applied Calculus and Differential Equations(SE101a) Sect 2E7-223 H.S.Kang
Tue-14:00,Applied Calculus and Differential Equations(SE101a) Sect 2E7-223 H.S.Kang,Applied Calculus and Differential Equations(SE101a) Sect 1E7-224 H.J.Ahn,Communication Skills(HL107) Sect 6E7-L27 Aaron
Tue-14:30,Applied Calculus and Differential Equations(SE101a) Sect 2E7-223 H.S.Kang,Applied Calculus and Differential Equations(SE101a) Sect 1E7-224 H.J.Ahn,Communication Skills(HL107) Sect 6E7-L27 Aaron,Classical Mechanicsb(SE103) Sect 1E7-L22 K.S.Park
Tue-15:00,Applied Calculus and Differential Equations(SE101a) Sect 2E7-223 H.S.Kang,Applied Calculus and Differential Equations(SE101a) Sect 1E7-224 H.J.Ahn,Communication Skills(HL107) Sect 6E7-L27 Aaron,Classical Mechanicsb(SE103) Sect 1E7-L22 K.S.Park
Tue-15:30,,Applied Calculus and Differential Equations(SE101a) Sect 1E7-224 H.J.Ahn,Communication Skills(HL107) Sect 6E7-L27 Aaron,Classical Mechanicsb(SE103) Sect 1E7-L22 K.S.Park
