학년도, 학기, 조직분류, 교과목명, 교과목번호, 분반, 요일, 시작교시, 종료교시, 건물, 호실, 시간, 교수자
2020, CMN17.10, CMN12.03, 고전역학 실험, SE104, 7, CMN44.4, UCS05.16, UCS05.19,E2,219,목요일16:00~18:00, 미정1 
2020, CMN17.10, CMN12.03, 전자회로와 계측법 (이론) (이공), SE235a, 1, CMN44.4, UCS05.16, UCS05.19,E7,233,목요일16:00~18:00, 이기준 
2020, CMN17.10, CMN12.03, 전자회로와 계측법 (실험) (이공), SE235b, 1, CMN44.3, UCS05.10, UCS05.13,E2,221,수요일13:00~15:00, 미정2 
2020, CMN17.10, CMN12.03, 전자회로와 계측법 (실험) (이공), SE235b, 2, CMN44.5, UCS05.10, UCS05.13,E2,221,금요일13:00~15:00, 미정2 
2020, CMN17.10, CMN12.03, 전자회로와 계측법 (실험) (이공), SE235b, 3, CMN44.5, UCS05.14, UCS05.17,E2,221,금요일15:00~17:00, 미정2 
2020, CMN17.10, CMN12.03, 전자회로와 계측법 (실험) (이공), SE235b, 4, CMN44.3, UCS05.14, UCS05.17,E2,221,수요일15:00~17:00, 미정2 
2020, CMN17.10, CMN12.03, 해석역학 (이공), SE236, 1, CMN44.2, UCS05.14, UCS05.16,E7,L22,화요일15:00~16:30, 윤춘섭 
2020, CMN17.10, CMN12.03, 해석역학 (이공), SE236, 1, CMN44.4, UCS05.05, UCS05.07,E7,L22,목요일10:30~12:00, 윤춘섭 
2020, CMN17.10, CMN12.03, 양자역학 (이공), SE337, 1, CMN44.1, UCS05.02, UCS05.04,E7,L22,월요일9:00~10:30, 박기성 
2020, CMN17.10, CMN12.03, 양자역학 (이공), SE337, 1, CMN44.4, UCS05.13, UCS05.15,E7,L22,목요일14:30~16:00, 박기성 
2020, CMN17.10, CMN12.03, 현대물리실험 (이공), SE335b, 1, CMN44.3, UCS05.22, UCS05.27,E2,215,수요일19:00~22:00, 박기성 윤춘섭 
2020, CMN17.10, CMN12.03, 현대광학 (이 공), SE432, 1, CMN44.2, UCS05.11, UCS05.13,E7,235,화요일13:30~15:00, 이기준 
2020, CMN17.10, CMN12.03, 현대광학 (이 공), SE432, 1, CMN44.5, UCS05.02, UCS05.04,E7,235,금요일9:00~10:30, 이기준 
2020, CMN17.10, CMN12.03, 물질의 이해, SE117, 1, CMN44.1, UCS05.05, UCS05.07,E7,L22,월요일10:30~12:00, 남창훈 
2020, CMN17.10, CMN12.03, 물질의 이해, SE117, 1, CMN44.3, UCS05.02, UCS05.04,E7,L22,수요일9:00~10:30, 남창훈 
2020, CMN17.10, CMN12.03, 물질의 이해, SE117, 2, CMN44.1, UCS05.02, UCS05.04,E7,L21,월요일9:00~10:30, 남창훈 
2020, CMN17.10, CMN12.03, 물질의 이해, SE117, 2, CMN44.2, UCS05.13, UCS05.15,E7,L21,화요일14:30~16:00, 남창훈 
2020, CMN17.10, CMN12.03, 물질의 이해, SE117, 3, CMN44.2, UCS05.11, UCS05.13,E7,L22,화요일13:30~15:00, 정병혁 
2020, CMN17.10, CMN12.03, 물질의 이해, SE117, 3, CMN44.3, UCS05.05, UCS05.07,E7,L22,수요일10:30~12:00, 정병혁 
2020, CMN17.10, CMN12.03, 물질의 이해, SE117, 4, CMN44.3, UCS05.14, UCS05.16,E7,L21,수요일15:00~16:30, 정현숙 
2020, CMN17.10, CMN12.03, 물질의 이해, SE117, 4, CMN44.4, UCS05.02, UCS05.04,E7,L21,목요일9:00~10:30, 정현숙 
2020, CMN17.10, CMN12.03, 화학실험(이), SE249a, 1, CMN44.4, UCS05.04, UCS05.07,E6,221,목요일10:00~12:00, 조장훈 
2020, CMN17.10, CMN12.03, 화학실험(이), SE249a, 2, CMN44.4, UCS05.12, UCS05.15,E6,221,목요일14:00~16:00, 조장훈 
2020, CMN17.10, CMN12.03, 화학실험(이), SE249a, 3, CMN44.4, UCS05.16, UCS05.19,E6,221,목요일16:00~18:00, 조장훈 
2020, CMN17.10, CMN12.03, 화학실험(이), SE249a, 4, CMN44.2, UCS05.10, UCS05.13,E6,221,화요일13:00~15:00, 이강욱 
2020, CMN17.10, CMN12.03, 화학실험(이), SE249a, 5, CMN44.2, UCS05.16, UCS05.19,E6,221,화요일16:00~18:00, 이강욱 
2020, CMN17.10, CMN12.03, 화학실험(이), SE207a, 1, CMN44.2, UCS05.04, UCS05.07,E6,221,화요일10:00~12:00, 미정3 
2020, CMN17.10, CMN12.03, 분석화학(이공), SE247a, 1, CMN44.2, UCS05.10, UCS05.12,E7,L21,화요일13:00~14:30, 이호춘 
2020, CMN17.10, CMN12.03, 분석화학(이공), SE247a, 1, CMN44.4, UCS05.10, UCS05.12,E7,L21,목요일13:00~14:30, 이호춘 
2020, CMN17.10, CMN12.03, 유기화학 I(이), SE245d, 1, CMN44.3, UCS05.16, UCS05.18,E7,223,수요일16:00~17:30, 정병혁 
