Timetable for grade 1
월요일9:00,Classical Mechanicsa(SE103) 1분반 E7-223 C.S.Yoon,Classical Mechanics Lab(SE104) 3분반 E2-219 H.S.Zoe
월요일9:30,Classical Mechanicsa(SE103) 1분반 E7-223 C.S.Yoon,Classical Mechanics Lab(SE104) 3분반 E2-219 H.S.Zoe
월요일10:00,Classical Mechanicsa(SE103) 1분반 E7-223 C.S.Yoon,Classical Mechanics Lab(SE104) 3분반 E2-219 H.S.Zoe,General Biology Lab(SE112) 1분반 E4-225 C.H.Lee
월요일10:30,Comparative Historya(HL101) 1분반 E7-L21 D.R.Kim,Classical Mechanics Lab(SE104) 3분반 E2-219 H.S.Zoe,General Biology Lab(SE112) 1분반 E4-225 C.H.Lee
월요일11:00,Comparative Historya(HL101) 1분반 E7-L21 D.R.Kim,,General Biology Lab(SE112) 1분반 E4-225 C.H.Lee
월요일11:30,Comparative Historya(HL101) 1분반 E7-L21 D.R.Kim,,General Biology Lab(SE112) 1분반 E4-225 C.H.Lee
월요일12:00
월요일12:30
월요일13:00,Applied Calculus and Differential Equations(SE101a) 4분반 E7-L22 K.J.Han,Writing.Reading.Speaking(HL111a) 4분반 E7-G02 T.H.Lim
월요일13:30,Applied Calculus and Differential Equations(SE101a) 4분반 E7-L22 K.J.Han,Writing.Reading.Speaking(HL111a) 4분반 E7-G02 T.H.Lim,Communication Skills(HL107) 5분반 E7-L27 Aaron
월요일14:00,Applied Calculus and Differential Equations(SE101a) 4분반 E7-L22 K.J.Han,Writing.Reading.Speaking(HL111a) 4분반 E7-G02 T.H.Lim,Communication Skills(HL107) 5분반 E7-L27 Aaron
월요일14:30,Applied Calculus and Differential Equations(SE101a) 3분반 E7-223 S.Y.Ahn,Comparative Historya(HL101) 2분반 E7-L21 D.R.Kim,Communication Skills(HL107) 5분반 E7-L27 Aaron,Writing.Reading.Speaking(HL111a) 3분반 E7-L31 T.H.Lim
월요일15:00,Applied Calculus and Differential Equations(SE101a) 3분반 E7-223 S.Y.Ahn,Comparative Historya(HL101) 2분반 E7-L21 D.R.Kim,Communication Skills(HL107) 5분반 E7-L27 Aaron,Writing.Reading.Speaking(HL111a) 3분반 E7-L31 T.H.Lim
월요일15:30,Applied Calculus and Differential Equations(SE101a) 3분반 E7-223 S.Y.Ahn,Comparative Historya(HL101) 2분반 E7-L21 D.R.Kim,General Biology Lab(SE112) 2분반 E4-225 S.I.Lee,Writing.Reading.Speaking(HL111a) 3분반 E7-L31 T.H.Lim
