No,ClassType,ClassCode,Section,CourseName,Credit,Instructors,ClassSize,Request,Reject,PossibleClassrooms,SurveyCode
151,Elective,HL352,1,Law and Industry,6,J.J.Lee,30,Wed-9:00~18:00,,0 1 3 4 5 9 11 12 15,0
152,Elective,HL349,1,Introduction to Sociology,6,J.G.Lee,30,Wed-09:00~12:00,,0 1 3 4 5 9 11 12 15,0
153,Elective,HL353,1,Game Theory,6,W.J.Kim,30,Wed-09:00~12:00,,0 1 3 4 5 9 11 12 15,0
154,Elective,HL350,1,Introduction to Management,6,J.I.Kim,30,Thr-14:30~17:30,,0 1 3 4 5 9 11 12 15,0
155,Elective,HL351,1,High-technology marketing,6,J.I.Kim,30,Fri-9:00~12:00,,0 1 3 4 5 9 11 12 15,0
156,Required,HL306,1,Entrepreneurship and Social Responsibilitya,6,J.W.Lim,100,,Wed-16:30~18:00,16 18,328
157,Required,HL306,2,Entrepreneurship and Social Responsibilitya,6,J.W.Lim,100,,Wed-16:30~18:00,16 18,328
158,Required,HL103,1,Music I: Classic Guitar,4,Jong-Ho.Park,12,Mon-16:00~18:00,,30 31 32 33,113
159,Required,HL103,2,Music I: Classic Guitar,4,Jong-Ho.Park,12,Mon-18:30~20:30,,30 31 32 33,113
160,Required,HL103,3,Music I: Classic Guitar,4,Jong-Ho.Park,12,Mon-20:30~22:30,,30 31 32 33,113
161,Required,HL103,4,Music I: Violin,4,J.H.Cheong,10,Mon-16:00~18:00,,30 31 32 33,113
162,Required,HL103,5,Music I: Violin(advanced),4,J.H.Cheong,10,Mon-18:30~20:30,,30 31 32 33,113
163,Required,HL103,6,Music I: Cello,4,G.J.Jeong,8,Mon-16:00~18:00,,30 31 32 33,113
164,Required,HL103,7,Music I: Ensemble,4,G.J.Jeong,10,Mon-18:30~20:30,,30 31 32 33,113
165,Required,HL103,8,Music I: Clarinet,4,H.S.Na ,10,Mon-16:00~18:00,,30 31 32 33,113
166,Required,HL103,9,Music I: Clarinet,4,H.S.Na ,10,Mon-18:30~20:30,,30 31 32 33,113
167,Required,HL103,11,Music I: Piano,4,J.K.Song,10,Tue-16:00~18:00,,34,113
168,Required,HL103,12,Music I: Piano,4,J.K.Song,10,Tue-18:30~20:30,,34,113
169,Required,HL103,13,Music I: Piano 4-hands Ensemble,4,J.K.Song,10,Wed-10:00~12:00,,34,113
170,Required,HL103,14,Music I: Violin,4,Kang-Won.Lee,10,Tue-18:30~20:30,,30 31 32 33,113
171,Required,HL103,15,Music I: Violin,4,Kang-Won.Lee,10,Tue-20:30~22:30,,30 31 32 33,113
172,Required,HL103,16,Music I: Chorus,4,J.S.Kim,25,Tue-16:00~18:00,,30,113
173,Required,HL103,17,Music I: Chorus,4,J.S.Kim,25,Tue-18:30~20:30,,30,113
174,Required,HL103,18,Music I: Chorus,4,J.S.Kim,10,Tue-20:30~22:30,,30 31 32 33,113
175,Required,HL105,1,Physical Education I: Taekwondo,4,Ji-Hoon.Lee,27,Mon-16:30~18:30,,28 29,112
176,Required,HL105,2,Physical Education I: Taekwondo,4,Y.H.Yoo,27,Mon-16:30~18:30,,28 29,112
177,Required,HL105,3,Physical Education I: Taekwondo,4,Ji-Hoon.Lee,27,Mon-18:30~20:30,,28 29,112
178,Required,HL105,4,Physical Education I: Taekwondo,4,Y.H.Yoo,27,Mon-18:30~20:30,,28 29,112
