No,ClassType,ClassCode,Section,CourseName,Credit,Instructors,ClassSize,Request,Reject,PossibleClassrooms,SurveyCode
96,Elective,EM725,1,Advanced quantum mechanics II,3 3,J.D.Lee,0,Tue-10:30~12:00 Thr-10:30~12:00,,40,412
97,Elective,EM667,1,Photochemistry,3 3,Jin-Hee.Park,0,Tue-10:30~12:00 Thr-10:30~12:00,,56,411
98,Elective,EM658,1,Bioorganic chemistry,3 3,S.K.Hong,0,Tue-15:00~16:30 Thr-15:00~16:30,,57,413
99,Elective,IC530,1,Principles of Commnication,3 3,J.W.Choi,0,Tue-15:00~16:30 Thr-15:00~16:30,,55,416
100,Elective,IC582,1,Device Fabrication Process for Nanotechnology),3 3,J.Y.Chang,20,Mon-10:30~12:00 Mon-13:00~14:30,,58,417
101,Elective,IC567,1,Linear Systems,3 3,K.D.Kim,20,Mon-15:00~16:30 Wed-15:00~16:30,,41,433
102,Elective,IC522,1,computer networks,3 3,Ji-Hwan.Choi,0,Tue-10:30~12:00 Thr-10:30~12:00,,55,418
103,Elective,RT512,1,Measurement and Signal Processing in Medicine,3 3,J.S.Hong,20,Mon-13:00~14:30 Wed-13:00~14:30,,47,434
104,Elective,RT514,1,Biomedical Engineering ,3 3,S.H.Kim,30,Mon-14:30~16:00 Wed-14:30~16:00,,47,428
105,Elective,RT516,1,Medical Imaging,3 3,J.S.Yoo,0,Tue-10:30~12:00 Thr-10:30~12:00,,47,0
106,Elective,RT518,1,Optical Engineering,3 3,C.Song,20,Tue-9:00~10:30 Thr-9:00~10:30,,48,429
107,Elective,RT618,1,Micro/Nano Engineering,3 3,H.S.Choi,20,Mon-13:00~14:30 Wed-13:00~14:30,,46,430
108,Elective,RT521,1,Linear System Control,3 3,P.H.Chang,20,Tue-10:30~12:00 Thr-10:30~12:00,,48,431
109,Elective,RT530,1,Thinking and Writing,3 3,P.H.Chang,20,Tue-14:30~16:00 Thr-14:30~16:00,,59,435
110,Elective,ES748,1,Advanced Optoelectronic Materials & Devices,3 3,Y.G.Lee,10,Mon-13:30~15:00 Wed-16:30~18:00,,50,415
111,Elective,ES621,1,Instrumental Analysis for Energy Materials,3 3,Jong-Soo.Lee,10,Mon-10:30~12:00 Wed-10:30~12:00,,50,436
